X,Y,OBJECTID,CLASS,TANK_FUNCTION,TANK_MATERIAL,TANK_CONTENTS,TANK_UNDERGROUND,VOLUME,POTABLE_WATER,ROTATION,GIS_MANUFACTURER,ASSET_LEVEL_ACCURACY,ASSET_POSITIONAL_ACCURACY,FUNCTIONAL_LOC,GIS_CUSTODIAN,GIS_DESCRIPTION,GIS_OWNER,CREATED_DATE,LAST_EDITED_DATE,DATA_SOURCE
153.39580256,-27.911311245,111,STORAGE_TANK,IRRIGATION,CONCRETE,RECYCLED WATER,N,,N,,,F,,K-RUNA03,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2019/05/25 13:04:40,
153.495458699,-28.150400342,112,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,,,,F,,K-TUGUNQ,51000811,STORAGE TANK,GCCC,2018/05/21 06:34:37,2019/05/07 21:21:21,
153.290573525,-27.8293798509999,113,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:39,2019/03/20 23:52:14,FPU
153.356319697,-28.037481885,114,STORAGE_TANK,,PLASTIC,RAIN WATER,N,,,,,F,,F-DPCARR,51003030,RAIN WATER STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/07/18 01:27:49,
153.179421192,-27.827011452,115,STORAGE_TANK,DRINKING WATER,CONCRETE,RAIN WATER,N,,Y,,,F,D,K-CHARD1,51000811,STORAGE TANK,P,2014/05/23 08:17:11,2019/07/17 06:22:46,FPU
153.309227624,-28.04043602,116,STORAGE_TANK,IRRIGATION,CONCRETE,RECYCLED WATER,Y,,N,,,F,E,K-FRANKC,51000811,STORAGE TANK WATER,GCCC,2017/02/20 01:52:17,2019/05/25 13:05:02,AIR
153.428005835,-27.976289946,117,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPMAIN,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:05:02,AIR
153.293223905,-27.8287090549999,118,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:20:21,2019/05/25 13:05:03,FPU
153.427712645,-28.0664342,119,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-PIZZEY,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:17,2019/05/25 13:05:57,FPU
153.264584552,-28.0245690749999,120,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,22,N,,,F,D,K-LOWERB,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:07,2020/04/23 07:50:37,FPU
153.426721409,-27.808559467,121,STORAGE_TANK,OTHER,,RAIN WATER,,,N,,,F,,F-CGTIPP,51000811,NEXT TO VMR BUILDING,GCCC,2014/05/23 08:17:10,2019/05/25 13:05:16,
153.349134572,-27.99638363,122,STORAGE_TANK,IRRIGATION,OTHER,RAIN WATER,,,,,,F,D,K-GLENNO,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2019/08/01 01:51:26,FPU
153.381873679,-27.954027144,123,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-BALLYB,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:05:18,FPU
153.357533173,-27.73494992,124,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-CHAR05,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:04:44,FPU
153.413930636,-27.9624636419999,125,STORAGE_TANK,IRRIGATION,PLASTIC,RAIN WATER,N,,N,,,F,D,K-BROA03,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:06:04,FPU
153.240767635,-28.14657442,126,STORAGE_TANK,FIRE FIGHTING,CONCRETE,RAIN WATER,N,22,N,,,F,,R-C-CHESTERSROADXXX,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:15,2020/04/14 05:45:38,
153.381805719,-28.008087518,127,STORAGE_TANK,IRRIGATION,CORRUGATED GALVANISE,RAIN WATER,N,,N,,,F,D,K-GOLD02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:09,2019/05/25 13:04:25,FPU
153.427778387,-27.975913845,128,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPMAIN,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:05:05,AIR
153.231275082,-27.8602477499999,129,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,22,N,,,F,D,K-WONG02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:07,2020/04/14 05:40:14,FPU
153.382493841,-28.0065927649999,130,STORAGE_TANK,IRRIGATION,PLASTIC,UNTREATED WATER,N,,,,,F,E,K-GOLD02,51000811,Storage Tank,GCCC,2015/05/15 23:37:38,2019/05/25 13:05:19,
153.387237206,-27.9580219649999,131,STORAGE_TANK,IRRIGATION,CONCRETE,RAIN WATER,Y,,N,,,F,D,K-MUSG02,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:17,2019/05/25 13:05:19,FPU
153.422298582,-27.906093007,132,STORAGE_TANK,SEPTIC,PLASTIC,GROUND WATER,N,,,,,F,E,S-TP-TPLNT-SCUR,51000989,STORAGE TANK IN TREATEMENT PLANT,GCCC,2015/08/18 03:15:42,2019/05/25 13:04:35,
153.389131189,-27.9106846569999,133,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,Y,,N,,,F,D,F-CCRBYP-CLUBRM,51001196,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:04:38,FPU
153.423390188,-28.128695045,134,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,N,,,,,F,E,K-COPLIC,51000811,Storage Tank,GCCC,2018/03/05 02:11:04,2019/06/06 06:41:04,AIR
153.291722862,-27.8293622159999,135,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:34,2019/03/20 23:52:14,FPU
153.290597618,-27.8299548099999,136,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,K-HERI02,51000811,Storage Tank,GCCC,2016/02/04 23:01:37,2019/03/20 23:52:14,FPU
153.533468707,-28.1674015469999,137,STORAGE_TANK,IRRIGATION,OTHER,RAIN WATER,N,,N,,,F,D,F-CCKIRR,51001196,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:04:38,FPU
153.357570059,-28.0713548489999,138,STORAGE_TANK,DRINKING WATER,CORRUGATED GALVANISE,RAIN WATER,N,,Y,,,F,D,K-MERNAA,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:39,FPU
153.355795231,-27.773542896,139,STORAGE_TANK,IRRIGATION,PLASTIC,RECYCLED WATER,N,,N,,,F,,K-GREENF,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:10,2019/05/25 13:04:39,
153.442974914,-28.0695974069999,140,STORAGE_TANK,SEPTIC,PLASTIC,EFFLUENT,Y,,,,,F,E,F-TPOCEA,51000989,Dump Point,GCCC,2018/01/22 01:19:15,2019/05/25 13:04:39,AIR
153.430131985,-28.0626338769999,141,STORAGE_TANK,OTHER,PLASTIC,CHEMICAL,N,,N,,,F,D,F-ACMIAM,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:04:39,FPU
153.43031846,-28.062459793,142,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,N,,,F,D,F-ACMIAM,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:13,2019/05/25 13:04:40,FPU
153.40604403,-28.0566734559999,143,STORAGE_TANK,IRRIGATION,CONCRETE,RECYCLED WATER,Y,,N,,,F,E,K-ROBI03,51000811,STORAGE TANK,GCCC,2018/08/15 01:09:21,2019/05/25 13:04:40,AIR
153.422287631,-27.9061379299999,144,STORAGE_TANK,SEPTIC,PLASTIC,GROUND WATER,N,,,,,F,E,S-TP-TPLNT-SCUR,51000989,STORAGE TANK IN TREATMENT PLANT,GCCC,2015/08/18 02:53:11,2019/05/25 13:04:14,
153.360666514,-27.9159633589999,145,STORAGE_TANK,SEPTIC,CONCRETE,EFFLUENT,Y,,N,,,F,E,F-ADPEST,51000468,SEPTIC TANK BETWEEN BUILDINGS,GCCC,2015/07/10 03:29:56,2020/08/17 21:51:35,
153.421339273,-28.1369419649999,146,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,,,,F,E,F-CFTALL,51000811,STORAGE TANK RAIN WATER,GCCC,2017/06/07 21:17:08,2019/05/25 13:04:14,AIR
153.232711994,-27.9393152879999,147,STORAGE_TANK,OTHER,CORRUGATED GALVANISE,RAIN WATER,N,,N,,,F,D,K-HOLL01,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:09,2019/05/25 13:05:47,FPU
153.433585463,-28.064237718,148,STORAGE_TANK,,,EFFLUENT,,,,,,F,,F-DPMIAM,51003030,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:05:18,
153.383553593,-27.957585219,149,STORAGE_TANK,SEPTIC,CONCRETE,EFFLUENT,,3,N,,,F,E,F-CMSLAW,51000989,STORAGE TANK SEPTIC,GCCC,2019/01/23 03:37:32,2019/05/25 13:04:15,AIR
153.423284097,-27.812533532,150,STORAGE_TANK,SEPTIC,PLASTIC,UNTREATED WATER,Y,,N,,,F,,F-OTSSTR,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:05,2019/05/25 13:05:59,
153.458191932,-28.1021327299999,151,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:16,
153.302935873,-27.8311434409999,152,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,22.5,N,,UNKNOWN,F,E,F-DPCOOM,51003030,FEEDS TOILET FACILITIES,GCCC,2014/05/23 08:17:17,2019/05/25 13:04:16,AIR
153.459211191,-28.100738274,153,STORAGE_TANK,OTHER,PLASTIC,CHEMICAL,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:10,2019/05/25 13:04:16,
153.458223201,-28.1020635839999,154,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:16,
153.457311838,-28.0998081669999,155,STORAGE_TANK,OTHER,FIBREGLASS,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:04:17,
153.458296133,-28.102020561,156,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:17,
153.458367641,-28.1019786259999,157,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:17,
153.395834847,-28.205166947,158,STORAGE_TANK,DRINKING WATER,PLASTIC,UNTREATED WATER,N,1.6,Y,,NYLEX,F,E,K-CURR09,51000811,Storage Tank,GCCC,2018/01/30 04:21:21,2019/05/25 13:04:17,
153.272730696,-27.801230002,159,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,Y,,N,,,F,D,K-CANOWI,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:05,2019/05/25 13:04:41,FPU
153.427459309,-27.8059255429999,160,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,22700,N,,,F,E,F-OTTIPP,51000989,STORAGE TANK,GCCC,2015/10/13 22:03:38,2019/05/25 13:04:17,
153.427391762,-27.8058915789999,161,STORAGE_TANK,OTHER,PLASTIC,EFFLUENT,N,22700,N,,,F,E,F-OTTIPP,51000989,SEPTIC TANK,GCCC,2015/10/13 21:54:17,2019/05/25 13:04:17,
153.427489272,-27.805732587,162,STORAGE_TANK,,PLASTIC,STORMWATER,N,25,N,,,F,E,F-OTTIPP,51000989,25000 LITRES STORAGE TANK,GCCC,2016/10/30 22:47:02,2019/01/23 04:39:23,AIR
153.410947228,-27.957815979,163,STORAGE_TANK,SEPTIC,PLASTIC,EFFLUENT,Y,,,,,F,E,F-TPBROA,51000989,STORAGE TANK,GCCC,2018/04/27 05:05:38,2019/05/25 13:04:19,AIR
153.457771759,-28.101352284,164,STORAGE_TANK,OTHER,FIBREGLASS,RAIN WATER,N,,,,,F,E,F-TPTALL,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:11,2019/05/25 13:04:19,
153.383523907,-27.93978397,165,STORAGE_TANK,IRRIGATION,CONCRETE,RAIN WATER,Y,,N,,,F,,K-GOLD04,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:09,2019/05/25 13:06:18,DES
153.355271643,-27.981546618,166,STORAGE_TANK,DRINKING WATER,CONCRETE,RAIN WATER,N,,Y,,,F,D,F-WMMOLT,51100218,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:04:54,FPU
153.357320211,-28.0882367909999,167,STORAGE_TANK,DRINKING WATER,PLASTIC,RAIN WATER,N,,Y,,,F,D,K-HINTER,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:05:08,FPU
153.373501546,-28.171969276,168,STORAGE_TANK,FIRE FIGHTING,PLASTIC,NON-POTABLE WATER,N,22,N,,,,E,R-G-GIBSONVILLESTRE,51000811,"34,000L Water Storage Tank",GCCC,2019/12/06 04:39:04,2020/04/14 05:40:14,AIR
153.427433387,-27.805832003,169,STORAGE_TANK,,PLASTIC,STORMWATER,N,25,N,,,F,E,F-OTTIPP,51000989,25000 LITRES STORAGE TANK,GCCC,2016/10/30 22:36:47,2019/01/23 04:39:22,AIR
153.364972337,-28.00851026,170,STORAGE_TANK,SEPTIC,CONCRETE,UNTREATED WATER,N,,N,,,F,D,F-SFGCSP-AMEN05,51000989,STORAGE TANK.,GCCC,2014/05/23 08:17:18,2020/11/17 08:05:57,FPU
153.399093948,-27.9117625,171,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,Y,,N,,,F,D,F-LBRUNA,51000992,STORAGE TANK,GCCC,2014/05/23 08:17:09,2020/01/15 03:52:27,FPU
153.304760744,-27.737771741,172,STORAGE_TANK,OTHER,PLASTIC,RAIN WATER,N,,N,,,F,E,F-ACWOON-AMEN01,51000989,STORAGE TANK,GCCC,2014/05/23 08:17:12,2020/11/16 04:12:02,AIR
153.32941002,-27.9004067989999,173,STORAGE_TANK,SEPTIC,PLASTIC,UNTREATED WATER,Y,15,N,,,F,E,F-ACHELE,51000989,Backwash Water Holding Tank,GCCC,2016/07/10 21:54:15,2019/05/25 13:05:10,AIR
153.340023725,-27.9837570239999,174,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,,,,,,F,D,F-ADNERA,51003030,STORAGE TANK,GCCC,2014/05/23 08:17:18,2019/05/25 13:04:54,FPU
153.431937763,-28.081365922,175,STORAGE_TANK,OTHER,CONCRETE,RAIN WATER,N,,N,,,F,D,F-LBBURW,51000992,STORAGE TANK,GCCC,2014/05/23 08:17:10,2020/01/15 03:52:27,FPU
153.411771856,-27.9705615459999,176,STORAGE_TANK,IRRIGATION,CONCRETE,RAIN WATER,N,,N,,,F,D,F-LBSOUT,51000992,STORAGE TANK,GCCC,2014/05/23 08:17:10,2020/01/15 03:52:27,FPU
153.388110305,-28.074989127,177,STORAGE_TANK,IRRIGATION,PLASTIC,RAIN WATER,N,,N,,,F,D,K-KERRYD,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:07,2019/05/25 13:04:54,FPU
153.269846801,-28.0206540139999,178,STORAGE_TANK,FIRE FIGHTING,CONCRETE,NON-POTABLE WATER,N,22,N,,,F,D,K-LOWERB,51000811,STORAGE TANK,GCCC,2014/05/23 08:17:18,2020/04/23 07:50:37,FPU
153.355281374,-27.981573668,179,STORAGE_TANK,DRINKING WATER,CONCRETE,RAIN WATER,N,,Y,,,F,D,F-WMMOLT,51100218,STORAGE TANK,GCCC,2014/05/23 08:17:12,2019/05/25 13:04:55,FPU
